home_fps,total_qty_kg,num_cards,avg_per_card
12694,14.7867732943049,2,7.39338664715245
25325,14.782068821459225,1,14.782068821459225
26847,14.77557462565474,1,14.77557462565474
40509,14.774978881106358,1,14.774978881106358
22728,14.774978881106358,1,14.774978881106358
6223,14.77425116768548,3,4.924750389228493
21069,14.761627938872568,2,7.380813969436284
25335,14.736182058179809,5,2.947236411635962
2614,14.73416983100351,3,4.911389943667836
6169,14.734044342581267,1,14.734044342581267
8145,14.726812855626559,2,7.363406427813279
15049,14.725035240213415,1,14.725035240213415
7866,14.690941653146378,2,7.345470826573189
17690,14.677772538085634,1,14.677772538085634
3377,14.649959087263449,1,14.649959087263449
5926,14.63008166145359,2,7.315040830726795
20402,14.60563921343102,1,14.60563921343102
14512,14.603721618493962,1,14.603721618493962
24897,14.581944579685612,1,14.581944579685612
14369,14.557800175082832,3,4.852600058360944
3182,14.557462264842798,1,14.557462264842798
14529,14.541320318546587,1,14.541320318546587
15013,14.53164842021352,1,14.53164842021352
20489,14.508019238991832,1,14.508019238991832
3795,14.506501770257128,1,14.506501770257128
3804,14.470852350958392,1,14.470852350958392
905,14.468601682777654,8,1.8085752103472068
41583,14.445316110059917,1,14.445316110059917
12868,14.429720628927967,2,7.214860314463984
2574,14.401980240083748,1,14.401980240083748
26993,14.393513793099373,2,7.196756896549687
40435,14.363379124922751,1,14.363379124922751
25098,14.345156309808887,3,4.781718769936296
41433,14.344399646843103,2,7.172199823421551
2417,14.341271505489088,1,14.341271505489088
26527,14.331971197175138,1,14.331971197175138
41336,14.326257037853008,1,14.326257037853008
21434,14.324054257190324,1,14.324054257190324
25324,14.323655185693463,3,4.774551728564488
27119,14.31714283845438,2,7.15857141922719
20712,14.3169680849788,1,14.3169680849788
3938,14.3169680849788,1,14.3169680849788
22547,14.3169680849788,1,14.3169680849788
26996,14.29869605375095,2,7.149348026875475
6012,14.295918613464048,1,14.295918613464048
17571,14.289748783712518,1,14.289748783712518
5909,14.289748783712518,1,14.289748783712518
27613,14.279098663741893,1,14.279098663741893
17700,14.247526746360482,2,7.123763373180241
20917,14.246148739936425,2,7.123074369968212
919,14.244572286292478,3,4.748190762097493
207,14.23347975911099,1,14.23347975911099
15184,14.231083343263956,1,14.231083343263956
26348,14.22193515389929,1,14.22193515389929
3994,14.216555397008966,3,4.738851799002989
41397,14.20937254204995,1,14.20937254204995
2409,14.20478151693504,2,7.10239075846752
19527,14.193859158156137,1,14.193859158156137
22606,14.186869231870851,1,14.186869231870851
20508,14.172479154627386,1,14.172479154627386
26852,14.17131906946193,1,14.17131906946193
39219,14.166365913707097,1,14.166365913707097
41385,14.165877284336345,1,14.165877284336345
29053,14.16434119743777,1,14.16434119743777
3839,14.15748834380079,2,7.078744171900395
27415,14.156129370290923,1,14.156129370290923
27087,14.15349206909451,1,14.15349206909451
22947,14.15349206909451,1,14.15349206909451
40865,14.15349206909451,1,14.15349206909451
27140,14.15349206909451,1,14.15349206909451
14630,14.151277432530977,1,14.151277432530977
22580,14.149629147832918,1,14.149629147832918
29061,14.140730229739564,1,14.140730229739564
41441,14.140730229739564,1,14.140730229739564
468,14.138577708989944,1,14.138577708989944
394,14.13720861106526,2,7.06860430553263
5690,14.13627432033464,2,7.06813716016732
41640,14.134560399988034,1,14.134560399988034
17421,14.134560399988034,1,14.134560399988034
25034,14.134560399988034,1,14.134560399988034
3800,14.134560399988034,1,14.134560399988034
5734,14.134560399988034,1,14.134560399988034
17857,14.134560399988034,1,14.134560399988034
18734,14.134560399988034,1,14.134560399988034
8507,14.130387458084918,1,14.130387458084918
28210,14.130387458084918,1,14.130387458084918
19565,14.122690998011713,1,14.122690998011713
6127,14.12261306596041,1,14.12261306596041
20789,14.119692368572677,3,4.706564122857559
5995,14.10748278429539,1,14.10748278429539
12113,14.107177687595168,1,14.107177687595168
26990,14.107177687595168,1,14.107177687595168
3816,14.102088893375296,1,14.102088893375296
20349,14.102088893375296,1,14.102088893375296
3833,14.102088893375296,1,14.102088893375296
41571,14.102088893375296,1,14.102088893375296
25070,14.09992440929173,1,14.09992440929173
5311,14.09992440929173,1,14.09992440929173
25379,14.09992440929173,1,14.09992440929173
26649,14.09447491540865,1,14.09447491540865
